HANDELSID,TID,PRIS,VOLUM,TYPE
1IV251B0H,16:25:01,268.60,1 219,Auction
1IV251B0G,16:25:01,268.60,3 132,Auction
1IV251B0F,16:25:01,268.60,229,Auction
1IV251B0E,16:25:01,268.60,2 440,Auction
1IV251B0D,16:25:01,268.60,13,Auction
1IV251B0C,16:25:01,268.60,641,Auction
1IV251B0B,16:25:01,268.60,8 569,Auction
1IV251B0A,16:25:01,268.60,1 524,Auction
1IV251B09,16:25:01,268.60,6 614,Auction
1IV251B08,16:25:01,268.60,6 759,Auction
1IV251B07,16:25:01,268.60,741,Auction
1IV251B06,16:25:01,268.60,150,Auction
1IV251B05,16:25:01,268.60,1 776,Auction
1IV251B04,16:25:01,268.60,17 236,Auction
1IV251B03,16:25:01,268.60,12 338,Auction
1IV251B02,16:25:01,268.60,13 594,Auction
1IV251B01,16:25:01,268.60,689,Auction
1IV251B00,16:25:01,268.60,4 380,Auction
1IV251AZZ,16:25:01,268.60,460,Auction
1IV251AZY,16:25:01,268.60,2 644,Auction
1IV251AZX,16:25:01,268.60,2 000,Auction
1IV251AZW,16:25:01,268.60,6 154,Auction
1IV251AZV,16:25:01,268.60,546,Auction
1IV251AZU,16:25:01,268.60,12 668,Auction
1IV251AZT,16:25:01,268.60,594,Auction
1IV251AZS,16:25:01,268.60,658,Auction
1IV251AZR,16:25:01,268.60,3 471,Auction
1IV251AZQ,16:25:01,268.60,502,Auction
1IV251AZP,16:25:01,268.60,12 454,Auction
1IV251AZO,16:25:01,268.60,7 773,Auction
1IV251AZN,16:25:01,268.60,754,Auction
1IV251AZM,16:25:01,268.60,4 565,Auction
1IV251AZL,16:25:01,268.60,10 261,Auction
1IV251AZK,16:25:01,268.60,13 062,Auction
1IV251AZJ,16:25:01,268.60,62,Auction
1IV251AZI,16:25:01,268.60,11 496,Auction
1IV251AZH,16:25:01,268.60,4 797,Auction
1IV251AZG,16:25:01,268.60,465,Auction
1IV251AZF,16:25:01,268.60,3,Auction
1IV251AZE,16:25:01,268.60,3 298,Auction
1IV251AZD,16:25:01,268.60,3 945,Auction
1IV251AZC,16:25:01,268.60,35 924,Auction
1IV251AZB,16:25:01,268.60,5 555,Auction
1IV251AZA,16:25:01,268.60,2 514,Auction
1IV251AZ9,16:25:01,268.60,2 325,Auction
1IV251AZ8,16:25:01,268.60,2 326,Auction
1IV251AZ7,16:25:01,268.60,1 586,Auction
1IV251AZ6,16:25:01,268.60,37,Auction
1IV251AZ5,16:25:01,268.60,36,Auction
1IV251AZ4,16:25:01,268.60,111,Auction
1IV251AZ3,16:25:01,268.60,109,Auction
1IV251AZ2,16:25:01,268.60,42,Auction
1IV251AZ1,16:25:01,268.60,5 057,Auction
1IV251AZ0,16:25:01,268.60,570,Auction
1IV251AYZ,16:25:01,268.60,7 018,Auction
1IV251AYY,16:25:01,268.60,5 868,Auction
1IV251AYX,16:25:01,268.60,505,Auction
1IV251AYW,16:25:01,268.60,5 285,Auction
1IV251AYV,16:25:01,268.60,3 876,Auction
1IV251AYU,16:25:01,268.60,6 580,Auction
1IV251AYT,16:25:01,268.60,5 644,Auction
1IV251AYS,16:25:01,268.60,3 436,Auction
1IV251AYR,16:25:01,268.60,1 430,Auction
1IV251AYQ,16:25:01,268.60,3 530,Auction
1IV251AYP,16:25:01,268.60,2 002,Auction
1IV251AYO,16:25:01,268.60,967,Auction
1IV251AYN,16:25:01,268.60,865,Auction
1IV251AYM,16:25:01,268.60,12 424,Auction
1IV251AYL,16:25:01,268.60,1 130,Auction
1IV251AYK,16:25:01,268.60,1 520,Auction
1IV251AYJ,16:25:01,268.60,5 840,Auction
1IV251AYI,16:25:01,268.60,22 040,Auction
1IV251AYH,16:25:01,268.60,5 478,Auction
1IV251AYG,16:25:01,268.60,3 522,Auction
1IV251AYF,16:25:01,268.60,120,Auction
1IV251AYE,16:25:01,268.60,4 482,Auction
1IV251AYD,16:25:01,268.60,809,Auction
1IV251AYC,16:25:01,268.60,6 748,Auction
1IV251AYB,16:25:01,268.60,1 431,Auction
1IV251AYA,16:25:01,268.60,5 857,Auction
1IV251AY9,16:25:01,268.60,11 238,Auction
1IV251AY8,16:25:01,268.60,2 808,Auction
1IV251AY7,16:25:01,268.60,35,Auction
1IV251AY6,16:25:01,268.60,6 828,Auction
1IV251AY5,16:25:01,268.60,1 099,Auction
1IV251AY4,16:25:01,268.60,1 254,Auction
1IV251AY3,16:25:01,268.60,653,Auction
1IV251AY2,16:25:01,268.60,1 184,Auction
1IV251AY1,16:25:01,268.60,10 877,Auction
1IV251AY0,16:25:01,268.60,58,Auction
1IV251AXZ,16:25:01,268.60,2 042,Auction
1IV251AXY,16:25:01,268.60,169,Auction
1IV251AXX,16:25:01,268.60,2 080,Auction
1IV251AXW,16:25:01,268.60,5 930,Auction
1IV251AXV,16:25:01,268.60,2 289,Auction
1IV251AXU,16:25:01,268.60,11 027,Auction
1IV251AXT,16:25:01,268.60,5 874,Auction
1IV251AXS,16:25:01,268.60,20 867,Auction
1IV251AXR,16:25:01,268.60,7 058,Auction
1IV251AXQ,16:25:01,268.60,1 469,Auction
1IV251AXP,16:25:01,268.60,293,Auction
1IV251AXO,16:25:01,268.60,8 286,Auction
1IV251AXN,16:25:01,268.60,11 118,Auction
1IV251AXM,16:25:01,268.60,2 481,Auction
1IV251AXL,16:25:01,268.60,1 915,Auction
1IV251AXK,16:25:01,268.60,1 952,Auction
1IV251AXJ,16:25:01,268.60,8 644,Auction
1IV251AXI,16:25:01,268.60,8 596,Auction
1IV251AXH,16:25:01,268.60,13 390,Auction
1IV251AXG,16:25:01,268.60,3 555,Auction
1IV251AXF,16:25:01,268.60,4,Auction
1IV251AXE,16:25:01,268.60,1 528,Auction
1IV251AXD,16:25:01,268.60,1 189,Auction
1IV251AXC,16:25:01,268.60,3 285,Auction
1IV251AXB,16:25:01,268.60,7 371,Auction
1IV251AXA,16:25:01,268.60,1 883,Auction
1IV251AX9,16:25:01,268.60,1,Auction
1IV251AX8,16:25:01,268.60,5,Auction
1IV251AX7,16:25:01,268.60,55,Auction
1IV251AX6,16:25:01,268.60,2 084,Auction
1IV251AX5,16:25:01,268.60,4 073,Auction
1IV251AX4,16:25:01,268.60,2,Auction
1IV251AX3,16:25:01,268.60,702,Auction
1IV251AX2,16:25:01,268.60,64,Auction
1IV251AX1,16:25:01,268.60,9 809,Auction
1IV251AX0,16:25:01,268.60,826,Auction
1IV251AWZ,16:25:01,268.60,330,Auction
1IV251AWY,16:25:01,268.60,6,Auction
1IV251AWX,16:25:01,268.60,271,Auction
1IV251AWW,16:25:01,268.60,1 024,Auction
1IV251AWV,16:25:01,268.60,14,Auction
1IV251AWU,16:25:01,268.60,3 413,Auction
1IV251AWT,16:25:01,268.60,1 579,Auction
1IV251AWS,16:25:01,268.60,1 892,Auction
1IV251AWR,16:25:01,268.60,1 543,Auction
1IV251AWQ,16:25:01,268.60,9 034,Auction
1IV251AWP,16:25:01,268.60,485,Auction
1IV251AWO,16:25:01,268.60,2 074,Auction
1IV251AWN,16:25:01,268.60,53,Auction
1IV251AWM,16:25:01,268.60,116,Auction
1IV251AWL,16:25:01,268.60,35,Auction
1IV251AWK,16:25:01,268.60,842,Auction
1IV251AWJ,16:25:01,268.60,1 116,Auction
1IV251AWI,16:25:01,268.60,1 024,Auction
1IV251AWH,16:25:01,268.60,3,Auction
1IV251AWG,16:25:01,268.60,49,Auction
1IV251AV9,16:19:59,268.45,21,Exchange Continuous
1IV251AV8,16:19:58,268.45,17,Exchange Continuous
1IV251AV5,16:19:56,268.45,17,Exchange Continuous
1IV251AV4,16:19:55,268.45,20,Exchange Continuous
1IV251AUR,16:19:10,268.40,436,Exchange Continuous
1IV251AUQ,16:19:08,268.40,169,Exchange Continuous
1IV251AUP,16:19:08,268.45,20,Exchange Continuous
1IV251AUO,16:19:08,268.35,465,Exchange Continuous
1IV251AUH,16:18:33,268.35,73,Exchange Continuous
1IV251AUG,16:18:32,268.25,270,Exchange Continuous
1IV251AUF,16:18:32,268.25,436,Exchange Continuous
1IV251AUE,16:18:32,268.25,70,Exchange Continuous
1IV251AUD,16:18:32,268.20,200,Exchange Continuous
1IV251AUC,16:18:32,268.25,168,Exchange Continuous
1IV251AUB,16:18:32,268.25,436,Exchange Continuous
1IV251AU2,16:18:19,268.35,122,Exchange Continuous
1IV251AU1,16:18:19,268.35,122,Exchange Continuous
1IV251AU0,16:18:19,268.35,236,Exchange Continuous
1IV251ATZ,16:18:19,268.35,270,Exchange Continuous
1IV251ATY,16:18:19,268.35,112,Exchange Continuous
1IV251ATX,16:18:19,268.35,17,Exchange Continuous
1IV251ATW,16:18:19,268.35,14,Exchange Continuous
1IV251ATV,16:18:12,268.40,50,Exchange Continuous
1IV251ATU,16:18:12,268.40,250,Exchange Continuous
1IV251ATT,16:18:12,268.35,461,Exchange Continuous
1IV251ATS,16:18:12,268.35,136,Exchange Continuous
1IV251ATR,16:18:12,268.35,300,Exchange Continuous
1IV251ATP,16:18:01,268.30,14,Exchange Continuous
1IV251ATO,16:18:01,268.30,81,Exchange Continuous
1IV251ATN,16:18:00,268.25,218,Exchange Continuous
1IV251ATM,16:18:00,268.25,218,Exchange Continuous
1IV251ATL,16:17:51,268.30,344,Exchange Continuous
1IV251ATK,16:17:51,268.30,459,Exchange Continuous
